2026-05-03 11:44:04,481 - INFO - Building environment (duel)...
2026-05-03 11:44:04,481 - INFO - hisss reward_cfg (how match rewards are shaped): {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-05-03 11:44:04,482 - INFO - Observation shape: (2, 21, 21, 22) | channels=22
2026-05-03 11:44:05,058 - INFO - DQN training configuration: {
  "gamma": 0.99,
  "batch_size": 64,
  "train_after": 500,
  "train_every": 1,
  "target_update_every": 500,
  "epsilon_start": 1.0,
  "epsilon_end": 0.05,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000
}
2026-05-03 11:44:08,402 - DEBUG - env step | turn=131 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,403 - DEBUG - env step | turn=132 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,403 - DEBUG - env step | turn=133 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,403 - DEBUG - env step | turn=134 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,403 - DEBUG - env step | turn=135 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,404 - DEBUG - env step | turn=136 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,404 - DEBUG - env step | turn=137 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,419 - DEBUG - env step | turn=138 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,419 - DEBUG - env step | turn=139 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,420 - DEBUG - env step | turn=140 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,420 - DEBUG - env step | turn=141 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,420 - DEBUG - env step | turn=142 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,420 - DEBUG - env step | turn=143 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,420 - DEBUG - env step | turn=144 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,421 - DEBUG - env step | turn=145 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,436 - DEBUG - env step | turn=146 | actions=(0, 3) | rewards=[0. 0.] | done=False
