2026-05-03 11:46:55,033 - INFO - Building environment (duel)...
2026-05-03 11:46:55,034 - INFO - hisss reward_cfg (how match rewards are shaped): {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-05-03 11:46:55,034 - INFO - Observation shape: (2, 21, 21, 22) | channels=22
2026-05-03 11:46:55,592 - INFO - DQN training configuration: {
  "gamma": 0.99,
  "batch_size": 64,
  "train_after": 500,
  "train_every": 1,
  "target_update_every": 500,
  "epsilon_start": 1.0,
  "epsilon_end": 0.05,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000
}
2026-05-03 11:46:56,752 - DEBUG - env step | turn=12 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,752 - DEBUG - env step | turn=13 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,752 - DEBUG - env step | turn=14 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,788 - DEBUG - env step | turn=15 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,789 - DEBUG - env step | turn=16 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,789 - DEBUG - env step | turn=17 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,789 - DEBUG - env step | turn=18 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,790 - DEBUG - env step | turn=19 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,825 - DEBUG - env step | turn=20 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,826 - DEBUG - env step | turn=21 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,826 - DEBUG - env step | turn=22 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,826 - DEBUG - env step | turn=23 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,827 - DEBUG - env step | turn=24 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,862 - DEBUG - env step | turn=25 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,862 - DEBUG - env step | turn=26 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,862 - DEBUG - env step | turn=27 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,863 - DEBUG - env step | turn=28 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,863 - DEBUG - env step | turn=29 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,898 - DEBUG - env step | turn=30 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,899 - DEBUG - env step | turn=31 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,899 - DEBUG - env step | turn=32 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,900 - DEBUG - env step | turn=33 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,900 - DEBUG - env step | turn=34 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,935 - DEBUG - env step | turn=35 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,935 - DEBUG - env step | turn=36 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,936 - DEBUG - env step | turn=37 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,936 - DEBUG - env step | turn=38 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,936 - DEBUG - env step | turn=39 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,971 - DEBUG - env step | turn=40 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,972 - DEBUG - env step | turn=41 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,972 - DEBUG - env step | turn=42 | actions=(2, 3) | rewards=[0. 0.] | done=False
